v8-version,7,8,279,23,-node.57,0
shared-library,/home/matias/.nvm/versions/node/v12.22.12/bin/node,0x400000,0x2ab5000,0
shared-library,/usr/lib/x86_64-linux-gnu/libc.so.6,0x7fc200456000,0x7fc200613000,0
shared-library,/usr/lib/x86_64-linux-gnu/libpthread.so.0,0x7fc20067e000,0x7fc200680000,0
shared-library,/usr/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fc200683000,0x7fc20069d000,0
shared-library,/usr/lib/x86_64-linux-gnu/libm.so.6,0x7fc2006a3000,0x7fc20072d000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.30,0x7fc20078a000,0x7fc200934000,0
shared-library,/usr/lib/x86_64-linux-gnu/libdl.so.2,0x7fc2009b4000,0x7fc2009b6000,0
shared-library,/usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2,0x7fc2009ce000,0x7fc2009fa000,0
shared-library,[vdso],0x7ffdbe528000,0x7ffdbe52a000,0
profiler,begin,1000
tick,0xe5fc63,671,0,0x0,6
tick,0x7fc2004fa930,1691,0,0x0,6
code-creation,Builtin,3,2396,0x138cda0,1634,RecordWrite
code-creation,Builtin,3,2408,0x138d420,457,EphemeronKeyBarrier
code-creation,Builtin,3,2417,0x138d600,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2423,0x138d640,294,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2431,0x138d780,203,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2440,0x138d860,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2449,0x138d980,285,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2457,0x138daa0,130,CallBoundFunction
code-creation,Builtin,3,2464,0x138db40,105,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2473,0x138dbc0,105,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2482,0x138dc40,105,Call_ReceiverIsAny
code-creation,Builtin,3,2490,0x138dcc0,890,CallProxy
code-creation,Builtin,3,2496,0x138e040,78,CallVarargs
code-creation,Builtin,3,2503,0x138e0a0,996,CallWithSpread
code-creation,Builtin,3,2516,0x138e4a0,990,CallWithArrayLike
code-creation,Builtin,3,2525,0x138e880,103,CallForwardVarargs
code-creation,Builtin,3,2532,0x138e900,103,CallFunctionForwardVarargs
code-creation,Builtin,3,2540,0x138e980,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,2549,0x138ea20,273,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,2566,0x138eb40,382,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,2573,0x138ecc0,26,ConstructFunction
code-creation,Builtin,3,2577,0x138ece0,130,ConstructBoundFunction
code-creation,Builtin,3,2582,0x138ed80,28,ConstructedNonConstructable
code-creation,Builtin,3,2586,0x138eda0,86,Construct
code-creation,Builtin,3,2591,0x138ee00,78,ConstructVarargs
code-creation,Builtin,3,2597,0x138ee60,1020,ConstructWithSpread
code-creation,Builtin,3,2602,0x138f260,1076,ConstructWithArrayLike
code-creation,Builtin,3,2607,0x138f6a0,142,ConstructForwardVarargs
code-creation,Builtin,3,2617,0x138f740,142,ConstructFunctionForwardVarargs
code-creation,Builtin,3,2621,0x138f7e0,328,JSConstructStubGeneric
code-creation,Builtin,3,2624,0x138f940,244,JSBuiltinsConstructStub
code-creation,Builtin,3,2628,0x138fa40,943,FastNewObject
code-creation,Builtin,3,2631,0x138fe00,301,FastNewClosure
code-creation,Builtin,3,2635,0x138ff40,213,FastNewFunctionContextEval
code-creation,Builtin,3,2643,0x1390020,213,FastNewFunctionContextFunction
code-creation,Builtin,3,2649,0x1390100,258,CreateRegExpLiteral
code-creation,Builtin,3,2654,0x1390220,586,CreateEmptyArrayLiteral
code-creation,Builtin,3,2658,0x1390480,1188,CreateShallowArrayLiteral
code-creation,Builtin,3,2662,0x1390940,1718,CreateShallowObjectLiteral
code-creation,Builtin,3,2667,0x1391000,866,ConstructProxy
code-creation,Builtin,3,2672,0x1391380,188,JSEntry
code-creation,Builtin,3,2678,0x1391440,188,JSConstructEntry
code-creation,Builtin,3,2682,0x1391500,188,JSRunMicrotasksEntry
code-creation,Builtin,3,2687,0x13915c0,98,JSEntryTrampoline
